question_id,question_type,sentence,relation_type,option_A,option_B,option_C,option_D,gold_option,gpt_answer,deepseek_answer,bert_answer,eval_gpt,eval_deepseek,eval_bert
Q2_开_open_0155,Q2,免费Telegram社工库机器人、免费开盒社工库、海外社工库工具盘点。,proto,启，张，把关闭的东西打开,扩大,贯通，使通,分割,A,B,C,B,Incorrect,Incorrect,Incorrect
Q2_拿_control_0045,Q2,做事十拿九稳，差一步是什么。,metaphorical,拿取实物,控制、掌控,攻下，占领,,A,C,A,D,Incorrect,Correct,Incorrect
Q2_走_walk_0287,Q2,很多朋友走位比较固定思路，习惯性走上走下，但是很多时候多一次变向走上走下再走上可能会好很多。,proto,移动,行走,往来，社交,,B,A,A,A,Incorrect,Incorrect,Incorrect
Q2_走_walk_0286,Q2,（2）向右转走：在行进中，预令从右脚开始，动令落在右脚。,proto,行走,往来，社交,移动,,A,C,B,B,Incorrect,Incorrect,Incorrect
Q2_吃_bear_0419,Q2,是吃一堑，长一智；堑：壕沟，引申为教训、挫折。,metaphorical,感受,把东西送进口中咽下,忍受，承受,,B,C,C,C,Incorrect,Incorrect,Incorrect
Q2_拿_control_0048,Q2,如：「男子汉要拿得起放得下，不要患得患失。,metaphorical,攻下，占领,控制、掌控,拿取实物,,C,B,B,D,Incorrect,Incorrect,Incorrect
Q2_开_enlarge_0182,Q2,天开地辟真主出，犹须再驾方凯旋。,metaphorical,启，张，把关闭的东西打开,贯通，使通,扩大,分割,A,C,B,C,Incorrect,Incorrect,Incorrect
Q2_拿_take_0039,Q2,手拿包搭配不仅要考虑服装搭配，同时还需要对手抓包的正确拿法进行一定的搭配。,proto,拿取实物,攻下，占领,控制、掌控,,A,C,C,C,Incorrect,Incorrect,Incorrect
Q2_吃_eat_0399,Q2,今天分享10道孩子爱吃的家常菜青椒火腿炒蛋食材:青椒，火…。,proto,忍受，承受,把东西送进口中咽下,感受,,B,B,A,B,Correct,Incorrect,Correct
Q2_走_walk_0292,Q2,Hewalkeduptothestagetoreceivehisaward.他走上舞台接受奖项。,proto,行走,往来，社交,移动,,A,A,A,B,Correct,Correct,Incorrect
Q2_开_cut_through_0169,Q2,在楼板开洞时，应确保洞口的尺寸、位置以及周围结构的支撑和加固措施…。,image schema,启，张，把关闭的东西打开,贯通，使通,分割,扩大,A,C,C,C,Incorrect,Incorrect,Incorrect
Q2_走_walk_0288,Q2,其实，换个视角思考，走路者和路存在着相互影响的关系。,proto,往来，社交,移动,行走,,C,D,D,A,Incorrect,Incorrect,Incorrect
Q2_吃_bear_0427,Q2,吃过大亏的人，会出现哪些变化。,metaphorical,感受,忍受，承受,把东西送进口中咽下,,C,B,B,A,Incorrect,Incorrect,Incorrect
Q2_走_walk_0294,Q2,f二、课文分析•“慢慢走，欣赏啊。,proto,往来，社交,移动,行走,,C,C,C,D,Correct,Correct,Incorrect
Q2_走_move_0298,Q2,走位的教学介绍如下：1、练走位从最基础开始，十字形走位，最基础的走位，操作方法为，在直走的…。,image schema,移动,行走,往来，社交,,B,A,A,A,Incorrect,Incorrect,Incorrect
Q2_走_social_contact_0319,Q2,以下是关于结婚第一年走亲戚的规矩和礼物的详细说明：一、结婚…。,metaphorical,行走,往来，社交,移动,,A,B,B,B,Incorrect,Incorrect,Incorrect
Q2_开_cut_through_0166,Q2,据悉，截至目前，万开隧道已掘进突破5200米...。,image schema,贯通，使通,扩大,启，张，把关闭的东西打开,分割,C,A,A,C,Incorrect,Incorrect,Correct
Q2_开_open_0145,Q2,本文介绍了电脑版多开助手的多开操作方法。,proto,分割,贯通，使通,启，张，把关闭的东西打开,扩大,C,C,A,C,Correct,Incorrect,Correct
Q2_吃_eat_0393,Q2,同时，如果坚持半年时间只吃菜不吃米…。,proto,感受,忍受，承受,把东西送进口中咽下,,C,C,C,A,Correct,Correct,Incorrect
Q2_走_walk_0290,Q2,走地鸡是在自然环境中散养的鸡类品种，主要生长于草地、树林或山坡等开阔空间。,proto,往来，社交,移动,行走,,C,C,B,D,Correct,Incorrect,Incorrect
Q2_开_cut_through_0167,Q2,中国公路隧道列表是按照隧道名称，地点，长度，开通年份，孔数X车道及公路等数据所列的表格。,image schema,贯通，使通,启，张，把关闭的东西打开,扩大,分割,B,D,A,B,Incorrect,Incorrect,Correct
Q2_开_seperate_0193,Q2,作品以自我对话形式展开，源于对成长过程中内心矛盾的审视。,image schema,分割,扩大,启，张，把关闭的东西打开,贯通，使通,C,A,A,A,Incorrect,Incorrect,Incorrect
Q2_拿_occupy_0060,Q2,***年我就拿下了一些政府合同和财富500强客户。,image schema,攻下，占领,拿取实物,控制、掌控,,B,B,B,A,Correct,Correct,Incorrect
Q2_开_seperate_0201,Q2,综上所述，“五五开”是一个与卢本伟紧密相关的网络梗，既指代他本人，也用来形容实力相当、胜负难料…。,image schema,启，张，把关闭的东西打开,贯通，使通,分割,扩大,A,C,A,D,Incorrect,Correct,Incorrect
Q2_走_walk_0293,Q2,下面分别解析这句话的两部分：长长的路慢慢的走含义：人生之路漫长而充满未知，如…。,proto,往来，社交,行走,移动,,B,B,B,B,Correct,Correct,Correct
Q2_开_enlarge_0175,Q2,该成语有两种意思，第一种意思是指开辟天地，艰苦创业，多形容创造…。,metaphorical,贯通，使通,启，张，把关闭的东西打开,扩大,分割,B,C,C,B,Incorrect,Incorrect,Correct
Q2_拿_control_0054,Q2,2、人生本就是一场闹剧接着一场闹剧，人总得学会拿得起也放得下，才算活得明白。,metaphorical,攻下，占领,控制、掌控,拿取实物,,C,B,B,D,Incorrect,Incorrect,Incorrect
Q2_吃_feel_0407,Q2,“大吃一惊”字的解释，成语解释，国语辞典，网络解释大吃一惊【解释】形容对发生的事感到十分意外。,metaphorical,忍受，承受,感受,把东西送进口中咽下,,C,C,B,A,Correct,Incorrect,Incorrect
Q2_走_move_0302,Q2,本篇主要论述了五味对五脏的所入，总结出了其规律是“五味各走其所喜”，并叙述了五谷、五畜、五…。,image schema,行走,往来，社交,移动,,A,A,A,B,Correct,Correct,Incorrect
Q2_吃_feel_0404,Q2,吃就是吃透图纸，拿就是拿出依据，卡就是卡住规范，要就是要有效果。,metaphorical,忍受，承受,感受,把东西送进口中咽下,,C,B,B,B,Incorrect,Incorrect,Incorrect
Q2_拿_control_0049,Q2,如：「凡事都要拿得起放得下，患得患失的哪能成事。,metaphorical,拿取实物,攻下，占领,控制、掌控,,A,A,A,A,Correct,Correct,Correct
Q2_吃_feel_0403,Q2,广大党员干部要坚持对标对表，学深悟透党的创新理论，在吃准吃透中央经济工作…。,metaphorical,感受,把东西送进口中咽下,忍受，承受,,B,C,A,B,Incorrect,Incorrect,Correct
Q2_开_cut_through_0173,Q2,仙娘:（唱)天仙洞、地仙洞齐开了。,image schema,扩大,启，张，把关闭的东西打开,贯通，使通,分割,B,C,C,A,Incorrect,Incorrect,Incorrect
Q2_拿_take_0035,Q2,10.可别乱拿呀，难道你想成为那个让人讨厌的“乱拿大王”吗。,proto,控制、掌控,拿取实物,攻下，占领,,B,B,B,B,Correct,Correct,Correct
Q2_走_social_contact_0310,Q2,",雪琴,走亲戚,老祖宗,太势利,回家过年文/飞鱼过年走亲戚，都是很常见的事情，也是传统。",metaphorical,行走,移动,往来，社交,,A,A,A,A,Correct,Correct,Correct
Q2_走_move_0297,Q2,例:咖啡放久走味後，就會覺得苦澀難以入口。,image schema,行走,移动,往来，社交,,A,C,D,B,Incorrect,Incorrect,Incorrect
Q2_吃_feel_0402,Q2,共6*产6*党的政策变不变，那个吃得准。,metaphorical,感受,把东西送进口中咽下,忍受，承受,,B,C,A,D,Incorrect,Incorrect,Incorrect
Q2_开_enlarge_0185,Q2,开埠后天津成为列强商品倾销、原料掠夺和资本输出的北方贸易中心城市，咸丰十…。,metaphorical,启，张，把关闭的东西打开,扩大,分割,贯通，使通,A,A,C,B,Correct,Incorrect,Incorrect
Q2_开_open_0156,Q2,平开窗一般型材截面较小，但其主受力杆件往往是…。,proto,启，张，把关闭的东西打开,扩大,分割,贯通，使通,A,B,B,A,Incorrect,Incorrect,Correct
Q2_开_seperate_0195,Q2,半年后，即8月21日，邓小平在接受意大利记者法拉奇的采访时，又将这个“四六开”改了，说：“我自己…。,image schema,扩大,启，张，把关闭的东西打开,分割,贯通，使通,B,B,B,D,Correct,Correct,Incorrect
Q2_拿_occupy_0065,Q2,程维称：“滴滴对橙心优选的投入不设上限，全力拿下市场第一名。,image schema,拿取实物,控制、掌控,攻下，占领,,A,B,B,D,Incorrect,Incorrect,Incorrect
Q2_吃_bear_0425,Q2,",挫折感,吃亏是福,心理创伤“人早点吃亏比晚吃亏好”这句话，从某些角度来看，是有一定道理的。",metaphorical,感受,忍受，承受,把东西送进口中咽下,,C,B,B,C,Incorrect,Incorrect,Correct
Q2_拿_occupy_0072,Q2,拿下合同的祝福语-现在，合同拿下了，这是对你努力的最好回报。,image schema,拿取实物,控制、掌控,攻下，占领,,A,B,A,D,Incorrect,Correct,Incorrect
Q2_开_cut_through_0165,Q2,3月7日，淮北市开渠中学举行第十三届“三八红旗手”颁奖仪式。,image schema,启，张，把关闭的东西打开,扩大,分割,贯通，使通,A,C,C,D,Incorrect,Incorrect,Incorrect
Q2_开_seperate_0204,Q2,超蓝悟空的龟波克林根本无法阻挡二者为何称为五五开谢邀。,image schema,贯通，使通,分割,启，张，把关闭的东西打开,扩大,C,C,C,A,Correct,Correct,Incorrect
Q2_吃_eat_0394,Q2,虽然绝大多数的剩菜都能放心吃，但如果有剩菜吃不完，一定要及时放冰箱保存。,proto,感受,把东西送进口中咽下,忍受，承受,,B,C,A,B,Incorrect,Incorrect,Correct
Q2_开_enlarge_0178,Q2,古代神话盘古氏开辟天地，创立世界。,metaphorical,贯通，使通,启，张，把关闭的东西打开,扩大,分割,B,B,B,A,Correct,Correct,Incorrect
Q2_开_enlarge_0176,Q2,"近义词包括""开天辟地""""天地开辟""等中性成语。",metaphorical,贯通，使通,分割,扩大,启，张，把关闭的东西打开,D,B,B,A,Incorrect,Incorrect,Incorrect
Q2_拿_control_0059,Q2,事实上，放不下往往是自己跟自己较真2、怎样做到真正意义上的“拿得起，放得…。,metaphorical,拿取实物,控制、掌控,攻下，占领,,A,C,C,B,Incorrect,Incorrect,Incorrect
Q2_走_social_contact_0311,Q2,但至于为什么要去走亲戚，以及走亲戚有哪些寓意，可能大家就不是特别了解了。,metaphorical,往来，社交,移动,行走,,C,B,B,B,Incorrect,Incorrect,Incorrect
Q2_开_cut_through_0160,Q2,它的类型较多，通开锁和单开锁是常见的两种，那么通开锁和单开锁的...。,image schema,分割,贯通，使通,扩大,启，张，把关闭的东西打开,D,A,C,D,Incorrect,Incorrect,Correct
Q2_开_open_0151,Q2,为什么电脑断电后会无法开机。,proto,贯通，使通,分割,启，张，把关闭的东西打开,扩大,C,A,A,C,Incorrect,Incorrect,Correct
Q2_吃_feel_0400,Q2,库里+巴特勒轰48分，替补全民皆兵，三首发却吃瘪。,metaphorical,把东西送进口中咽下,忍受，承受,感受,,A,A,A,A,Correct,Correct,Correct
Q2_拿_occupy_0068,Q2,本文将分享9个有效的外贸好习惯，帮助你在外贸市场中脱颖而出，成功拿下…。,image schema,攻下，占领,拿取实物,控制、掌控,,B,C,C,C,Incorrect,Incorrect,Incorrect
Q2_拿_occupy_0061,Q2,12步跟进模板拿下客户时间:2018-05-0214:49:32来源:进出口经理人网友评论0条。,image schema,控制、掌控,拿取实物,攻下，占领,,B,C,C,C,Incorrect,Incorrect,Incorrect
Q2_吃_feel_0408,Q2,例句有七岁的孩子就写出这样好的诗，真令人吃惊[1]。,metaphorical,忍受，承受,感受,把东西送进口中咽下,,C,B,B,C,Incorrect,Incorrect,Correct
Q2_拿_take_0042,Q2,男生帮女生拿包意味着什么。,proto,拿取实物,控制、掌控,攻下，占领,,A,B,B,C,Incorrect,Incorrect,Incorrect
Q2_走_walk_0284,Q2,我走在我自己的人生路上，哪怕路途的风雨再大，大到我步履维艰。,proto,行走,移动,往来，社交,,A,D,A,D,Incorrect,Correct,Incorrect
Q2_拿_occupy_0071,Q2,本文将分享9个有效的外贸好习惯，帮助你在外贸市场中脱颖而出，成功拿下订单。,image schema,拿取实物,控制、掌控,攻下，占领,,A,C,A,A,Incorrect,Correct,Correct
Q2_走_move_0307,Q2,视神经走行的特点：1.由于视盘位于鼻侧视网膜，故各部位的神经纤维进入视盘的走行是不对称的。,image schema,移动,行走,往来，社交,,B,B,B,B,Correct,Correct,Correct
Q2_开_seperate_0200,Q2,终于，有网友幸运地晒出了偶遇五五开的照片，引发了网络上新…。,image schema,启，张，把关闭的东西打开,贯通，使通,分割,扩大,A,D,A,B,Incorrect,Correct,Incorrect
Q2_拿_control_0056,Q2,拿得起是生存，放得下是生活；拿得起是能力，放得下是智慧。,metaphorical,攻下，占领,拿取实物,控制、掌控,,B,D,A,B,Incorrect,Incorrect,Correct
Q2_走_move_0303,Q2,传统A键走A不用担心误触走到敌方脸上，同时可以看到自身攻击范围，方便拉扯。,image schema,往来，社交,移动,行走,,C,B,B,D,Incorrect,Incorrect,Incorrect
Q2_吃_bear_0421,Q2,”这话听起来颇有些自我安慰的味道，仿佛在说：“哎，我又吃亏了，但没关系，我是在积福呢。,metaphorical,忍受，承受,感受,把东西送进口中咽下,,C,A,A,B,Incorrect,Incorrect,Incorrect
Q2_开_seperate_0198,Q2,“三七开”、“四六开”、“五五开”等，表示网络学习加分和期末成绩之间不同的比例，…。,image schema,扩大,启，张，把关闭的东西打开,分割,贯通，使通,B,B,B,B,Correct,Correct,Correct
Q2_拿_take_0032,Q2,按~键，也就是数字1旁边的那个键，调出控制台，输入cm拿东西，输入dm开启上帝模式。,proto,拿取实物,控制、掌控,攻下，占领,,A,C,C,D,Incorrect,Incorrect,Incorrect
Q2_开_open_0146,Q2,电脑程序多开方法指南在日常生活和工作中，有时我们需要在同一台电脑上同时运行多个相同的程序实例。,proto,启，张，把关闭的东西打开,扩大,分割,贯通，使通,A,B,B,D,Incorrect,Incorrect,Incorrect
Q2_走_social_contact_0312,Q2,3、大年初三之后才开始走其他的一些亲戚初三以后，大家普遍开始走亲戚，所以这时候去走亲戚一定要注…。,metaphorical,移动,往来，社交,行走,,C,A,A,B,Incorrect,Incorrect,Incorrect
Q2_开_seperate_0190,Q2,割开焊缝是一个需要精确操作和技术的过程。,image schema,分割,扩大,启，张，把关闭的东西打开,贯通，使通,C,A,A,D,Incorrect,Incorrect,Incorrect
Q2_走_social_contact_0320,Q2,走亲戚是中国传统春节民俗，指农历新年期间亲属间礼节性拜访活动，具有维系亲情的社会功能。,metaphorical,往来，社交,行走,移动,,B,B,B,A,Correct,Correct,Incorrect
Q2_拿_occupy_0066,Q2,1250万台，2025年二季度华为手机拿下了中国市场18.1%的市场份额，销量第一。,image schema,攻下，占领,拿取实物,控制、掌控,,B,A,A,D,Incorrect,Incorrect,Incorrect
Q2_吃_bear_0420,Q2,本为石匠师傅打石磨时，石胚吃一钎，石胚即长一齿之意。,metaphorical,忍受，承受,把东西送进口中咽下,感受,,B,A,A,D,Incorrect,Incorrect,Incorrect
Q2_拿_control_0052,Q2,在我们的生命中，有许多值得我们“拿起来”的，比如：尊严，爱情，勇敢。,metaphorical,攻下，占领,控制、掌控,拿取实物,,C,B,C,C,Incorrect,Correct,Correct
Q2_走_move_0301,Q2,肝主筋，木曰曲直作酸，酸走肝，筋病患无多食酸。,image schema,往来，社交,移动,行走,,C,B,A,D,Incorrect,Incorrect,Incorrect
Q2_走_social_contact_0322,Q2,"不出正月都是年,平日里走动少的老亲戚、老相识都可借过年之…。",metaphorical,往来，社交,行走,移动,,B,A,A,D,Incorrect,Incorrect,Incorrect
Q2_拿_occupy_0063,Q2,品牌销量榜显示，中国汽车已完全拿下俄罗斯汽车市场，销量榜...。,image schema,拿取实物,控制、掌控,攻下，占领,,A,C,A,D,Incorrect,Correct,Incorrect
Q2_拿_take_0041,Q2,探索Versace迷你包和手拿包系列，采用最上等皮革制成，搭配金属链肩带和经典装饰。,proto,控制、掌控,攻下，占领,拿取实物,,C,B,B,C,Incorrect,Incorrect,Correct
Q2_走_move_0299,Q2,走位是战斗的关键，学会蛇皮走位，掌握心理战技巧，学会地形杀，了解技…。,image schema,移动,行走,往来，社交,,B,A,A,D,Incorrect,Incorrect,Incorrect
Q2_吃_eat_0389,Q2,吃饭的节奏过快和过慢都是不好的，吃饭的节奏通常是一口饭嚼20次。,proto,感受,把东西送进口中咽下,忍受，承受,,B,C,C,D,Incorrect,Incorrect,Incorrect
Q2_拿_take_0036,Q2,院里不让锁门，偷不算偷，叫拿，所以在我们院，…。,proto,拿取实物,攻下，占领,控制、掌控,,A,A,A,B,Correct,Correct,Incorrect
Q2_拿_control_0057,Q2,放得下，即是解脱；拿得起，即是慈悲。,metaphorical,控制、掌控,攻下，占领,拿取实物,,C,A,A,A,Incorrect,Incorrect,Incorrect
Q2_吃_eat_0396,Q2,63个“控糖食谱”免费送，天天吃不重样审稿：杨力南方医科大学珠江…。,proto,忍受，承受,把东西送进口中咽下,感受,,B,B,B,C,Correct,Correct,Incorrect
Q2_拿_take_0034,Q2,拿相机手握东西茶拿铁拿数据拿武器人物美女拿模特拿包老人吃东…。,proto,拿取实物,控制、掌控,攻下，占领,,A,A,A,B,Correct,Correct,Incorrect
Q2_拿_occupy_0062,Q2,如何使用报价技巧快速拿下客户。,image schema,攻下，占领,拿取实物,控制、掌控,,B,A,A,A,Incorrect,Incorrect,Incorrect
Q2_走_social_contact_0318,Q2,内行：以前走的是亲情，现在完全不一样了。,metaphorical,行走,移动,往来，社交,,A,A,A,C,Correct,Correct,Incorrect
Q2_走_social_contact_0315,Q2,走亲戚，是中华民族的传统民俗，也是中国人联络情感…。,metaphorical,移动,往来，社交,行走,,C,A,A,B,Incorrect,Incorrect,Incorrect
Q2_开_seperate_0197,Q2,2、杨幂的妆容重点在于眼妆，三七开的发型，给人一种洒脱淡定的感觉。,image schema,扩大,启，张，把关闭的东西打开,分割,贯通，使通,B,C,B,A,Incorrect,Correct,Incorrect
Q2_走_social_contact_0314,Q2,走亲戚曾经是农村一项重要的民俗活动，但现在却逐渐被人们忽视。,metaphorical,往来，社交,移动,行走,,C,B,B,C,Incorrect,Incorrect,Correct
Q2_拿_take_0040,Q2,然而，市面上的手拿包种类繁…。,proto,拿取实物,攻下，占领,控制、掌控,,A,A,A,D,Correct,Correct,Incorrect
Q2_开_cut_through_0162,Q2,老黄历中“开渠”是什么意思。,image schema,贯通，使通,扩大,分割,启，张，把关闭的东西打开,D,B,B,A,Incorrect,Incorrect,Incorrect
Q2_吃_bear_0416,Q2,吃⼀堑，长⼀智造句⽰例：1、他离婚是吃⼀堑长⼀智。,metaphorical,感受,忍受，承受,把东西送进口中咽下,,C,C,C,B,Correct,Correct,Incorrect
Q2_走_social_contact_0316,Q2,"一个“走”字,描画出“走亲戚”的旧有意味；一个“回”字,把不同时代闺女与娘家的新型关系点到妙处。",metaphorical,移动,往来，社交,行走,,C,A,A,B,Incorrect,Incorrect,Incorrect
Q2_拿_take_0030,Q2,人拿东西搜索结果...从冰箱里拿东西的阿西亚人-00:071080P企。,proto,攻下，占领,控制、掌控,拿取实物,,C,B,B,D,Incorrect,Incorrect,Incorrect
Q2_吃_feel_0409,Q2,主持人：你被他的重拳打中了吧，在第二个回合你看起来好像挨了重重一拳，你对此感到吃惊吗。,metaphorical,把东西送进口中咽下,忍受，承受,感受,,A,C,A,C,Incorrect,Correct,Incorrect
Q2_走_social_contact_0323,Q2,在不同的地区，走亲戚有着各自独…。,metaphorical,往来，社交,移动,行走,,C,C,A,D,Correct,Incorrect,Incorrect
Q2_开_cut_through_0170,Q2,在墙体开洞时，必须确保洞的尺寸符合设计要求，同时位置要合理。,image schema,启，张，把关闭的东西打开,贯通，使通,扩大,分割,A,B,B,B,Incorrect,Incorrect,Incorrect
Q2_走_walk_0289,Q2,但是，怎样才能正确地进行快走。,proto,行走,移动,往来，社交,,A,A,A,D,Correct,Correct,Incorrect
Q2_开_cut_through_0164,Q2,根据区域划分，玉泉路石槽桥以上称人民渠，石槽桥至莲花池暗涵出口称新开渠，莲花池暗涵出…。,image schema,分割,贯通，使通,扩大,启，张，把关闭的东西打开,D,A,A,B,Incorrect,Incorrect,Incorrect
Q2_拿_occupy_0074,Q2,最终，中国队1比0拿下比赛，以小组倒…。,image schema,控制、掌控,攻下，占领,拿取实物,,C,C,C,D,Correct,Correct,Incorrect
Q2_走_move_0300,Q2,当田字中心有别的棋子时，俗称“塞（相）象眼”，则不许走过去。,image schema,往来，社交,移动,行走,,C,B,B,C,Incorrect,Incorrect,Correct
Q2_拿_control_0058,Q2,既能拿得起，又能放得下，你的人生才会更加的精彩。,metaphorical,拿取实物,攻下，占领,控制、掌控,,A,C,C,D,Incorrect,Incorrect,Incorrect
Q2_拿_occupy_0070,Q2,本文将深入探讨如何轻松拿下订单，掌握成交之道。,image schema,攻下，占领,拿取实物,控制、掌控,,B,A,A,C,Incorrect,Incorrect,Incorrect
Q2_吃_bear_0417,Q2,堵车迟到，花钱无计划，出门忘带东西，种种犯错，给生活带来有句谚语：“吃一堑长一…。,metaphorical,忍受，承受,把东西送进口中咽下,感受,,B,A,A,A,Incorrect,Incorrect,Incorrect
Q2_吃_eat_0385,Q2,泛指人每天定时分次吃的食物：早～。,proto,忍受，承受,感受,把东西送进口中咽下,,C,A,A,D,Incorrect,Incorrect,Incorrect
Q2_吃_bear_0428,Q2,很多人一旦吃亏了，总是喜欢在别人身上找原因，却很少在自己身上找原因，很少自我反省。,metaphorical,忍受，承受,感受,把东西送进口中咽下,,C,B,B,B,Incorrect,Incorrect,Incorrect
Q2_拿_control_0055,Q2,拿得起，就要抗得住，放得下就需看得开，这，既是能力，也是智慧，谁不愿，谁不想。,metaphorical,控制、掌控,攻下，占领,拿取实物,,C,B,B,A,Incorrect,Incorrect,Incorrect
Q2_拿_control_0053,Q2,拿得起放得下其实是一种心态。,metaphorical,控制、掌控,攻下，占领,拿取实物,,C,C,C,B,Correct,Correct,Incorrect
Q2_走_social_contact_0321,Q2,无论是习俗的变化还是礼物的演进，走亲戚的文化内涵依然深植于每一个中国人的心中，寄托着对家人和亲友…。,metaphorical,移动,往来，社交,行走,,C,C,B,B,Correct,Incorrect,Incorrect
Q2_走_social_contact_0317,Q2,",过年,拜年,酒席,年货,走亲戚今年春节走亲戚的人要少一半。",metaphorical,往来，社交,移动,行走,,C,A,A,B,Incorrect,Incorrect,Incorrect
Q2_开_enlarge_0181,Q2,注释1、开辟鸿蒙，开天辟地以来。,metaphorical,分割,扩大,启，张，把关闭的东西打开,贯通，使通,C,B,B,B,Incorrect,Incorrect,Incorrect
Q2_走_walk_0283,Q2,对某种事物迷恋到失去理智的地步掩鼻而过：捂着鼻子走过去。,proto,行走,移动,往来，社交,,A,A,A,D,Correct,Correct,Incorrect
Q2_开_enlarge_0179,Q2,它强调通过努力和创造力去拓展新的领域，突破传统的限制，开创…。,metaphorical,贯通，使通,启，张，把关闭的东西打开,扩大,分割,B,B,B,D,Correct,Correct,Incorrect
Q2_开_enlarge_0184,Q2,天开于子，地辟于丑，人生于寅的最早出处，以及是什么意思。,metaphorical,分割,扩大,贯通，使通,启，张，把关闭的东西打开,D,B,A,D,Incorrect,Incorrect,Correct
Q2_拿_occupy_0069,Q2,如何通过巧妙沟通快速拿下外贸订单。,image schema,攻下，占领,拿取实物,控制、掌控,,B,B,B,C,Correct,Correct,Incorrect
Q2_开_cut_through_0161,Q2,开渠有人工开通河道或水沟的意思，或者是开放渠道5评论分享。,image schema,贯通，使通,启，张，把关闭的东西打开,扩大,分割,B,C,C,B,Incorrect,Incorrect,Correct
Q2_走_move_0295,Q2,如：「咖啡放久走味后，就会觉得不好喝了。,image schema,移动,行走,往来，社交,,B,B,A,B,Correct,Incorrect,Correct
Q2_开_enlarge_0186,Q2,在历史上，“开疆裂土”常用于…。,metaphorical,分割,贯通，使通,扩大,启，张，把关闭的东西打开,D,A,A,C,Incorrect,Incorrect,Incorrect
Q2_开_enlarge_0177,Q2,开辟强调从无到有地打通、创建。,metaphorical,贯通，使通,启，张，把关闭的东西打开,扩大,分割,B,C,C,A,Incorrect,Incorrect,Incorrect
Q2_吃_bear_0424,Q2,占小便宜吃大亏的俗语谚语哲理句子-20.小便宜就像糖衣炮弹，占了就会被大亏击中。,metaphorical,感受,忍受，承受,把东西送进口中咽下,,C,A,A,D,Incorrect,Incorrect,Incorrect
Q2_吃_eat_0398,Q2,夏季吃瓜，比如冬瓜、南瓜、黄瓜、丝瓜、佛手瓜等，这些瓜类在…。,proto,忍受，承受,感受,把东西送进口中咽下,,C,A,A,A,Incorrect,Incorrect,Incorrect
Q2_开_open_0147,Q2,关于电脑开不了机怎么办，这些方法简单易行，可快…。,proto,贯通，使通,扩大,启，张，把关闭的东西打开,分割,C,A,A,A,Incorrect,Incorrect,Incorrect
Q2_开_seperate_0194,Q2,本文详细介绍了PCB开槽处理的目的，以及三种常用的方法：通过机械层绘制并转换为切割槽、利用焊盘进行…。,image schema,分割,贯通，使通,启，张，把关闭的东西打开,扩大,C,B,B,D,Incorrect,Incorrect,Incorrect
Q2_吃_feel_0412,Q2,指受到意外的恩遇而顿觉吃惊不安。,metaphorical,把东西送进口中咽下,忍受，承受,感受,,A,A,A,A,Correct,Correct,Correct
Q2_拿_occupy_0073,Q2,厂家业务员拿下合同之后为什么不直接签单，而是交由代理商跟客户签合同。,image schema,攻下，占领,拿取实物,控制、掌控,,B,C,A,C,Incorrect,Incorrect,Incorrect
Q2_吃_eat_0391,Q2,（2）先吃的蔬菜，应该是少油少盐烹调的蔬菜。,proto,把东西送进口中咽下,感受,忍受，承受,,A,B,A,D,Incorrect,Correct,Incorrect
Q2_拿_take_0033,Q2,若要拿一组物品，可按“Shift+左…。,proto,控制、掌控,拿取实物,攻下，占领,,B,C,C,B,Incorrect,Incorrect,Correct
Q2_走_walk_0280,Q2,2、人生没有不可逾越的天堑，只要一步步走过去，前方就是幸福的彼岸。,proto,移动,行走,往来，社交,,B,C,D,D,Incorrect,Incorrect,Incorrect
Q2_开_open_0153,Q2,那么“打开电脑”用英语怎么说。,proto,扩大,启，张，把关闭的东西打开,分割,贯通，使通,B,C,A,C,Incorrect,Incorrect,Incorrect
Q2_走_move_0308,Q2,",铁路,车站,动车组,动车,走行线大家都经常乘坐火车出行，也许对铁路线有所了解。",image schema,行走,移动,往来，社交,,A,A,A,A,Correct,Correct,Correct
Q2_吃_feel_0410,Q2,他们许多人像其他美国人一样，对一夫多妻教派中的乱伦现象和孩子被虐待感到吃惊。,metaphorical,把东西送进口中咽下,忍受，承受,感受,,A,C,B,D,Incorrect,Incorrect,Incorrect
Q2_吃_eat_0387,Q2,吃饭是人摄入负熵维持耗散体系的主要方式。,proto,忍受，承受,感受,把东西送进口中咽下,,C,C,A,D,Correct,Incorrect,Incorrect
Q2_吃_bear_0415,Q2,吃一堑：意思是受一次栽倒沟里的教训。,metaphorical,把东西送进口中咽下,忍受，承受,感受,,A,A,A,A,Correct,Correct,Correct
Q2_开_open_0149,Q2,以上就是台式电脑主机开不了机的原因及解决方法，希望对大家有所帮助。,proto,贯通，使通,启，张，把关闭的东西打开,分割,扩大,B,C,B,D,Incorrect,Correct,Incorrect
Q2_开_enlarge_0180,Q2,"鸿蒙，汉语词语，亦作""鸿濛""，中国古代哲学与神话概念，意为天地开辟前混沌状态的原始元气。",metaphorical,分割,启，张，把关闭的东西打开,扩大,贯通，使通,B,C,C,B,Incorrect,Incorrect,Correct
Q2_拿_occupy_0064,Q2,其中，华为手机成功拿下市场第一，小米则位列第二。,image schema,攻下，占领,拿取实物,控制、掌控,,B,C,C,A,Incorrect,Incorrect,Incorrect
